Name,Species,Gender,Personality,Hobby,Catchphrase,Favorite Song,Style 1,Style 2,Color 1,Color 2,Wallpaper,Flooring,name,birthday_month,birthday_day,sign,nh_details.quote,nh_details.image_url,nh_details.photo_url,nh_details.icon_url,nh_details.sub-personality,nh_details.house_interior_url,nh_details.house_exterior_url
Admiral,Bird,Male,Cranky,Nature,aye aye,Steep Hill,Cool,Cool,Black,Blue,dirt-clod wall,tatami,Admiral,January,27,Aquarius,Only quitters give up.,https://dodo.ac/np/images/e/ed/Admiral_NH.png,https://dodo.ac/np/images/0/02/Admiral%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/8/82/Admiral_NH_Villager_Icon.png,A,https://dodo.ac/np/images/e/e2/House_of_Admiral_NH.png,https://dodo.ac/np/images/8/8b/House_of_Admiral_NH_Model.png
Agent S,Squirrel,Female,Peppy,Fitness,sidekick,Go K.K. Rider,Active,Simple,Blue,Black,concrete wall,colorful tile flooring,Agent S,July,2,Cancer,You gotta put the pedal to the metal!,https://dodo.ac/np/images/a/a7/Agent_S_NH.png,https://dodo.ac/np/images/9/9e/Agent_S%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/5/51/Agent_S_NH_Villager_Icon.png,B,https://dodo.ac/np/images/2/29/House_of_Agent_S_NH.jpg,https://dodo.ac/np/images/c/ca/House_of_Agent_S_NH_Model.png
Agnes,Pig,Female,Big Sister,Play,snuffle,K.K. House,Simple,Elegant,Pink,White,gray molded-panel wall,arabesque flooring,Agnes,April,21,Taurus,You reap what you sow.,https://dodo.ac/np/images/4/42/Agnes_NH.png,https://dodo.ac/np/images/8/8e/Agnes%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/2/27/Agnes_NH_Villager_Icon.png,A,https://dodo.ac/np/images/4/4e/House_of_Agnes_NH.png,https://dodo.ac/np/images/8/89/House_of_Agnes_NH_Model.png
Al,Gorilla,Male,Lazy,Fitness,ayyyeee,Go K.K. Rider,Active,Active,Red,White,concrete wall,green rubber flooring,Al,October,18,Libra,Life is a buffet. Always go back for seconds.,https://dodo.ac/np/images/c/c4/Al_NH.png,https://dodo.ac/np/images/2/21/Al%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/6/62/Al_NH_Villager_Icon.png,B,https://dodo.ac/np/images/8/87/House_of_Al_NH.jpg,https://dodo.ac/np/images/e/ea/House_of_Al_NH_Model.png
Alfonso,Alligator,Male,Lazy,Play,it'sa me,Forest Life,Simple,Simple,Red,Blue,yellow playroom wall,green honeycomb tile,Alfonso,June,9,Gemini,Slow and steady wins the race.,https://dodo.ac/np/images/e/e4/Alfonso_NH.png,https://dodo.ac/np/images/f/fd/Alfonso%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/0/0a/Alfonso_NH_Villager_Icon.png,B,https://dodo.ac/np/images/7/7d/House_of_Alfonso_NH.png,https://dodo.ac/np/images/7/7c/House_of_Alfonso_NH_Model.png
Alice,Koala,Female,Normal,Education,guvnor,Aloha K.K.,Cute,Cute,Red,Pink,white botanical-tile wall,light parquet flooring,Alice,August,19,Leo,Treat others as you would like to be treated.,https://dodo.ac/np/images/e/e1/Alice_NH.png,https://dodo.ac/np/images/6/64/Alice%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/1/1f/Alice_NH_Villager_Icon.png,B,https://dodo.ac/np/images/9/9b/House_of_Alice_NH.jpg,https://dodo.ac/np/images/4/44/House_of_Alice_NH_Model.png
Alli,Alligator,Female,Snooty,Fashion,graaagh,K.K. Soul,Gorgeous,Elegant,Yellow,Brown,woodland wall,rosewood flooring,Alli,November,8,Scorpio,Think before you act.,https://dodo.ac/np/images/8/8e/Alli_NH.png,https://dodo.ac/np/images/7/72/Alli%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/5/54/Alli_NH_Villager_Icon.png,B,https://dodo.ac/np/images/1/19/House_of_Alli_NH.png,https://dodo.ac/np/images/5/5e/House_of_Alli_NH_Model.png
Amelia,Eagle,Female,Snooty,Music,cuz,K.K. Condor,Cool,Elegant,Black,White,summit wall,common flooring,Amelia,November,19,Scorpio,"Pampering yourself is as important as food, water, and shelter!",https://dodo.ac/np/images/a/ab/Amelia_NH.png,https://dodo.ac/np/images/c/cb/Amelia%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/d/d9/Amelia_NH_Villager_Icon.png,B,https://dodo.ac/np/images/4/4c/House_of_Amelia_NH.jpg,https://dodo.ac/np/images/4/44/House_of_Amelia_NH_Model.png
Anabelle,Anteater,Female,Peppy,Fashion,snorty,Aloha K.K.,Cute,Simple,Green,Blue,green painted-wood wall,yellow floral flooring,Anabelle,February,16,Aquarius,Dance like no one's watching!,https://dodo.ac/np/images/d/d8/Anabelle_NH.png,https://dodo.ac/np/images/c/cb/Anabelle%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/b/ba/Anabelle_NH_Villager_Icon.png,B,https://dodo.ac/np/images/b/b9/House_of_Anabelle_NH.png,https://dodo.ac/np/images/9/96/House_of_Anabelle_NH_Model.png
Anchovy,Bird,Male,Lazy,Play,chuurp,K.K. Ragtime,Simple,Simple,Colorful,Orange,modern wood wall,simple red flooring,Anchovy,March,4,Pisces,Why do today what you can put off until tomorrow?,https://dodo.ac/np/images/e/ea/Anchovy_NH.png,https://dodo.ac/np/images/f/fe/Anchovy%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/8/81/Anchovy_NH_Villager_Icon.png,B,https://dodo.ac/np/images/8/86/House_of_Anchovy_NH.png,https://dodo.ac/np/images/3/35/House_of_Anchovy_NH_Model.png
Angus,Bull,Male,Cranky,Fitness,macmoo,K.K. Calypso,Cool,Cool,Red,Black,wild-wood wall,red-and-black vinyl flooring,Angus,April,30,Taurus,Even strong bulls cry.,https://dodo.ac/np/images/5/5f/Angus_NH.png,https://dodo.ac/np/images/e/e8/Angus%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/e/e4/Angus_NH_Villager_Icon.png,B,https://dodo.ac/np/images/b/bd/House_of_Angus_NH.png,https://dodo.ac/np/images/3/30/House_of_Angus_NH_Model.png
Anicotti,Mouse,Female,Peppy,Fashion,cannoli,Neapolitan,Simple,Elegant,Red,Pink,beaded-curtain wall,kitschy tile,Anicotti,February,24,Pisces,The walls have ears.,https://dodo.ac/np/images/8/80/Anicotti_NH.png,https://dodo.ac/np/images/2/2b/Anicotti%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/0/07/Anicotti_NH_Villager_Icon.png,B,https://dodo.ac/np/images/f/f3/House_of_Anicotti_NH.jpg,https://dodo.ac/np/images/6/6c/House_of_Anicotti_NH_Model.png
Ankha,Cat,Female,Snooty,Nature,me meow,K.K. Bazaar,Gorgeous,Simple,Colorful,Brown,ancient wall,pyramid tile,Ankha,September,22,Virgo,All that glitters is not gold.,https://dodo.ac/np/images/5/56/Ankha_NH.png,https://dodo.ac/np/images/5/5e/Ankha%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/1/1c/Ankha_NH_Villager_Icon.png,B,https://dodo.ac/np/images/8/86/House_of_Ankha_NH.jpg,https://dodo.ac/np/images/0/0e/House_of_Ankha_NH_Model.png
Annalisa,Anteater,Female,Normal,Nature,gumdrop,King K.K.,Elegant,Gorgeous,Red,Pink,gold-screen wall,tatami,Annalisa,February,6,Aquarius,Home is where the heart is.,https://dodo.ac/np/images/f/f0/Annalisa_NH.png,https://dodo.ac/np/images/1/10/Annalisa%27s_Poster_NH_Texture.png,https://dodo.ac/np/images/3/3d/Annalisa_NH_Villager_Icon.png,A,https://dodo.ac/np/images/2/2b/House_of_Annalisa_NH.png,https://dodo.ac/np/images/4/4f/House_of_Annalisa_NH_Model.png
